                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    1450                                     1225                  6.0000000000000000E+001                  2.0000000000000000E-002                  3.7321475554303140E+006                  1.5609613912321635E-001                  3.0153347045683859E+004                  1.1451603524374063E+006                  3.9211662888718081E+001                 -6.2064973295725041E+000                  3.6904561519330150E-032                  0.0000000000000000E+000                  9.8063703945417202E-001                  3.5527029612105691E-004                  1.2683382937195566E-002                  1.6206105916332077E-004                  2.0850244240917331E-003                  4.5646674535987444E+001                 -1.1567257624319112E-004                  4.7229833863464785E+000                  8.6610070840061639E-007                  4.0037788254860359E+001                  1.3322698406949912E-002                  5.7137651352005137E-001                  1.9916767621831456E-002                  9.5174431280001026E-002                  2.6440744255017712E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6372686126465141E+005                  1.0927419902064673E+003                  3.9860509001059271E+005                  1.1445511675090434E+006                  1.1445511673022727E+006                  3.6579575460644221E-005                  7.7903919916496714E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.1777761969524767E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240919"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                  eps_nuc                                       pp                                      cno                                tri_alpha 
                                       1                  4.5646674535987444E+001                  1.5934152602568730E+000                  4.4793496903320085E+000                 -1.0197440430637291E+001                  3.3529279953023678E+000                  3.4708617693688099E-001                  6.3337404774910133E-001                  1.9539775314017627E-002                  2.2880821581588981E-030                  2.2880821581588981E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  4.5646674535950929E+001                  1.5934133126062717E+000                  4.4793856697123129E+000                 -1.0197206478819492E+001                  3.3530826688231254E+000                  3.4708617693688099E-001                  6.3337404774910133E-001                  1.9539775314017627E-002                  2.2893150747316216E-030                  2.2893150747316216E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  4.5646674535894682E+001                  1.5934103141214373E+000                  4.4794586043729243E+000                 -1.0196733812150336E+001                  3.3533961076129470E+000                  3.4708617693688093E-001                  6.3337404774910133E-001                  1.9539775314017738E-002                  2.2918080362448433E-030                  2.2918080362448433E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  4.5646674535762841E+001                  1.5934032938241540E+000                  4.4795976051883697E+000                 -1.0195838561048461E+001                  3.3539931043675879E+000                  3.4708617693688093E-001                  6.3337404774910133E-001                  1.9539775314017738E-002                  2.2965372558470922E-030                  2.2965372558470922E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  4.5646674535536093E+001                  1.5933912429845616E+000                  4.4798587326367212E+000                 -1.0194176821545733E+001                  3.3551133072567576E+000                  3.4708617693688099E-001                  6.3337404774910133E-001                  1.9539775314017627E-002                  2.3053413820098845E-030                  2.3053413820098841E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  4.5646674535088735E+001                  1.5933675561378982E+000                  4.4804325946900976E+000                 -1.0190616694162145E+001                  3.3575690342896691E+000                  3.4708617693688099E-001                  6.3337404774910133E-001                  1.9539775314017627E-002                  2.3243172112017469E-030                  2.3243172112017469E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  4.5646674534052522E+001                  1.5933131233821953E+000                  4.4815520051102409E+000                 -1.0184009055319084E+001                  3.3623368622215675E+000                  3.4708617693688099E-001                  6.3337404774910133E-001                  1.9539775314017627E-002                  2.3599515275546015E-030                  2.3599515275546015E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  4.5646674532185749E+001                  1.5932164916018301E+000                  4.4832505857130576E+000                 -1.0174757919645495E+001                  3.3695189603159750E+000                  3.4708617693688099E-001                  6.3337404774910133E-001                  1.9539775314017627E-002                  2.4107617008714182E-030                  2.4107617008714182E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  4.5646674529622892E+001                  1.5930865220120314E+000                  4.4853488282950638E+000                 -1.0164496993649919E+001                  3.3783098864666288E+000                  3.4708617693688099E-001                  6.3337404774910133E-001                  1.9539775314017627E-002                  2.4683985466670828E-030                  2.4683985466670828E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  4.5646674526669806E+001                  1.5929401199702820E+000                  4.4877955311690787E+000                 -1.0154019855049683E+001                  3.3884543505558971E+000                  3.4708617693688104E-001                  6.3337404774910133E-001                  1.9539775314017627E-002                  2.5286719775329089E-030                  2.5286719775329092E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
