                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r24.08.1"          6.0000000000000007E+001          5.0000000000000000E+001          1.0000000000000000E+001                       "gfortran"                         "13.3.0"            "x86_64-linux-24.7.1"                       "20240919" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          2.6686289693645477E+001          9.9999999971343669E+000          9.3591272549110386E+001          2.1522900646201126E+002          2.5827480775441353E+002          3.6949870326736715E+001          3.3996889531979932E+001         -7.0733330560438323E-001         -1.0000000000000000E+000          6.0000000000000007E+001          5.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.6719193240108165E+055         -1.8963181233589080E+036          0.0000000000000000E+000         -1.8963181233589080E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          9.3090318064137392E+001          9.9999999900039338E+000          9.3591272504620633E+001          2.1522900651316712E+002          2.5827480781580056E+002          3.6949870309172141E+001          3.3996889515819092E+001         -7.0706743507038194E-001         -1.0000000000000000E+000          6.0000000000000007E+001          5.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.6719193236134328E+055         -1.8963181259881006E+036          0.0000000000000000E+000         -1.8963181259881006E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          2.5832478993899980E+002          9.9999999722611488E+000          9.3591272393915972E+001          2.1522900664045918E+002          2.5827480796855104E+002          3.6949870265465904E+001          3.3996889475605791E+001         -7.0669383782515116E-001         -1.0000000000000000E+000          6.0000000000000007E+001          5.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.6719193226246161E+055         -1.8963181325303748E+036          0.0000000000000000E+000         -1.8963181325303748E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          6.6948103099465720E+002          9.9999999281114285E+000          9.3591272118447421E+001          2.1522900695720253E+002          2.5827480834864309E+002          3.6949870156710809E+001          3.3996889375542253E+001         -7.0647134374069431E-001         -1.0000000000000000E+000          6.0000000000000007E+001          5.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.6719193201641236E+055         -1.8963181488096370E+036          0.0000000000000000E+000         -1.8963181488096370E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          1.6925693287382705E+003          9.9999998182527818E+000          9.3591271432993366E+001          2.1522900774536143E+002          2.5827480929443379E+002          3.6949869886093289E+001          3.3996889126552098E+001         -7.0643264475585477E-001         -1.0000000000000000E+000          6.0000000000000007E+001          5.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.6719193140416304E+055         -1.8963181893176522E+036          0.0000000000000000E+000         -1.8963181893176522E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          4.2383404017796574E+003          9.9999995448893237E+000          9.3591269727364420E+001          2.1522900970655303E+002          2.5827481164786371E+002          3.6949869212710325E+001          3.3996888506984938E+001         -7.0627654908235282E-001         -1.0000000000000000E+000          6.0000000000000007E+001          5.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.6719192988069084E+055         -1.8963182901145681E+036          0.0000000000000000E+000         -1.8963182901145681E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          1.0573033478249999E+004          9.9999988646734952E+000          9.3591265483213320E+001          2.1522901458662614E+002          2.5827481750395145E+002          3.6949867537117839E+001          3.3996886965303410E+001         -7.0563775175729948E-001         -1.0000000000000000E+000          6.0000000000000007E+001          5.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.6719192608980405E+055         -1.8963185409295927E+036          0.0000000000000000E+000         -1.8963185409295927E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          2.6335776954292676E+004          9.9999971720785776E+000          9.3591254922405128E+001          2.1522902672981340E+002          2.5827483207577615E+002          3.6949863367706719E+001          3.3996883129105662E+001         -7.0409151984126805E-001         -1.0000000000000000E+000          6.0000000000000007E+001          5.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.6719191665686228E+055         -1.8963191650379332E+036          0.0000000000000000E+000         -1.8963191650379332E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          6.5558526800599197E+004          9.9999929603589734E+000          9.3591228643720967E+001          2.1522905694597415E+002          2.5827486833516906E+002          3.6949852992872124E+001          3.3996873583413013E+001         -7.0069449626153124E-001         -1.0000000000000000E+000          6.0000000000000007E+001          5.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.6719189318466990E+055         -1.8963207180210305E+036          0.0000000000000000E+000         -1.8963207180210305E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              50          1.6315727969816059E+005          9.9999824802416608E+000          9.3591163253859804E+001          2.1522913213360511E+002          2.5827495856032618E+002          3.6949827176929837E+001          3.3996849830643896E+001         -6.9367188603078722E-001         -1.0000000000000000E+000          6.0000000000000007E+001          5.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.6719183477825325E+055         -1.8963245823512450E+036          0.0000000000000000E+000         -1.8963245823512450E+036          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
