                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     400                                     1563                  1.5000000000000000E+001                  2.0000000000000000E-002                  1.0746962258033851E+007                  2.7147979761151660E+001                  1.2563654149966576E+004                  3.0476576130359881E+004                  3.6847183986735772E+001                 -3.0176607469636778E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5849583945713424E-001                  1.8017027907365517E-002                  2.5963206429433336E-003                  2.4822351127095629E-004                  1.6565366631822523E-002                  1.3117477474140312E+001                 -6.6040534052281110E-004                  6.2051624758030242E+000                  1.5263009120544181E-004                  6.6282908265097511E+000                  3.5450050546005127E-002                  7.9104852625436262E-002                  7.3409125943269052E-002                  4.2424647098266530E-002                  2.7892115820853376E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1807097194677067E+005                  3.6083701758098159E+003                  4.3041178307011537E+006                  4.4066398229543636E+004                  3.7536651445753108E+004                  4.5630588575486563E+003                  2.5579377117594399E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.3914833615412906E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240905"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.3117477474140312E+001                  1.5664043028937684E+000                  4.0991319491972176E+000                 -1.0269353286513518E+001                  2.1618650262126855E+000                  6.9999955817998927E-001                  2.8000044088303194E-001                  2.0000000936978735E-002                  7.8864192041878337E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.3117477474129817E+001                  1.5664035069246220E+000                  4.0991772458581845E+000                 -1.0269039292265465E+001                  2.1621488671869749E+000                  6.9999955817998927E-001                  2.8000044088303194E-001                  2.0000000936978735E-002                  7.8921231754676270E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.3117477474110556E+001                  1.5664020469584750E+000                  4.0992358739230612E+000                 -1.0268633243458016E+001                  2.1625160743215477E+000                  6.9999955817998927E-001                  2.8000044088303194E-001                  2.0000000936978735E-002                  7.8995055131826817E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.3117477474091295E+001                  1.5664005883420007E+000                  4.0993237880935407E+000                 -1.0268025183196464E+001                  2.1630663109105068E+000                  6.9999955817998927E-001                  2.8000044088303194E-001                  2.0000000936978735E-002                  7.9105735188016142E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.3117477474052771E+001                  1.5663976751466493E+000                  4.0995141506457724E+000                 -1.0266711854905164E+001                  2.1642561358926398E+000                  6.9999955817998927E-001                  2.8000044088303194E-001                  2.0000000936978735E-002                  7.9345318675995160E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.3117477473966092E+001                  1.5663911400356239E+000                  4.0999692714902194E+000                 -1.0263590254398206E+001                  2.1670918459818149E+000                  6.9999955817998927E-001                  2.8000044088303194E-001                  2.0000000936978735E-002                  7.9917691708397309E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.3117477473753011E+001                  1.5663751883761605E+000                  4.1006034463602248E+000                 -1.0259278765999541E+001                  2.1710248145895221E+000                  6.9999955817998927E-001                  2.8000044088303194E-001                  2.0000000936978735E-002                  8.0715037113287875E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.3117477473547149E+001                  1.5663599280420106E+000                  4.1015676468459210E+000                 -1.0252816126547220E+001                  2.1769590029237729E+000                  6.9999955817998927E-001                  2.8000044088303194E-001                  2.0000000936978735E-002                  8.1925129551382512E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.3117477473113755E+001                  1.5663282704286616E+000                  4.1035792746841739E+000                 -1.0239664747644001E+001                  2.1891761837900083E+000                  6.9999955817998938E-001                  2.8000044088303194E-001                  2.0000000936978735E-002                  8.4443963932892826E-030                  0.0000000000000000E+000                  0.0000000000000000E+000 
