                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r24.08.1"          1.5000000000000002E+001          1.0000000000000000E+001          7.0000000000000000E+000                       "gfortran"                         "13.3.0"           "aarch64-macos-24.7.1"                       "20240910" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          8.5396127019665516E+002          6.9999999863860083E+000          4.5028051389326002E+001          1.3017669297101017E+002          1.9526503945651527E+002          1.8661986044114506E+001          1.5508165555873052E+001         -7.3733530882796461E-001         -7.4778247293576983E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162855867871339E+054         -2.9258870933582181E+034          0.0000000000000000E+000         -2.9258870933582181E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              10          2.9788901780523956E+003          6.9999999525102004E+000          4.5028051244053465E+001          1.3017669318100258E+002          1.9526503977150389E+002          1.8661985983905947E+001          1.5508165505839560E+001         -7.3726712497724933E-001         -7.4776865855886454E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162855848251025E+054         -2.9258871208906592E+034          0.0000000000000000E+000         -2.9258871208906592E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              15          8.2663932780479881E+003          6.9999998682163476E+000          4.5028050882568905E+001          1.3017669370353090E+002          1.9526504055529639E+002          1.8661985834087787E+001          1.5508165381340229E+001         -7.3715615555569847E-001         -7.4772370647120112E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162855799429409E+054         -2.9258871894001821E+034          0.0000000000000000E+000         -2.9258871894001821E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              20          2.1423392991829023E+004          6.9999996584662663E+000          4.5028049983079612E+001          1.3017669500374868E+002          1.9526504250562306E+002          1.8661985461292250E+001          1.5508165071546035E+001         -7.3698481112316583E-001         -7.4762059835709105E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162855677945594E+054         -2.9258873598738292E+034          0.0000000000000000E+000         -2.9258873598738292E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              25          5.4162218519624636E+004          6.9999991365408860E+000          4.5028047744862135E+001          1.3017669823910717E+002          1.9526504735866078E+002          1.8661984533657538E+001          1.5508164300678850E+001         -7.3634702510802352E-001         -7.4735378864946322E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162855375654951E+054         -2.9258877840668982E+034          0.0000000000000000E+000         -2.9258877840668982E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              30          1.3562689285694901E+005          6.9999978378232912E+000          4.5028042175459568E+001          1.3017670628971717E+002          1.9526505943457576E+002          1.8661982225405023E+001          1.5508162382514184E+001         -7.3482077833849913E-001         -7.4665856645348661E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162854623458892E+054         -2.9258888395955450E+034          0.0000000000000000E+000         -2.9258888395955450E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              35          3.3833707130399998E+005          6.9999946061968057E+000          4.5028028316995773E+001          1.3017672632222914E+002          1.9526508948334370E+002          1.8661976481730804E+001          1.5508157609503936E+001         -7.3143939597510965E-001         -7.4497039886631367E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162852751753112E+054         -2.9258914660919668E+034          0.0000000000000000E+000         -2.9258914660919668E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              40          8.4274486253736564E+005          6.9999865648665471E+000          4.5027993832653401E+001          1.3017677616964133E+002          1.9526516425446204E+002          1.8661962189610755E+001          1.5508145732709936E+001         -7.2436822531536382E-001         -7.4109051791495095E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162848094342226E+054         -2.9258980016765596E+034          0.0000000000000000E+000         -2.9258980016765596E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              45          2.0978728576191743E+006          6.9999665554053410E+000          4.5027908024267283E+001          1.3017690020664688E+002          1.9526535030997033E+002          1.8661926626115225E+001          1.5508116179340050E+001         -7.0828014431802921E-001         -7.3266722604869572E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162836505164316E+054         -2.9259142644324127E+034          0.0000000000000000E+000         -2.9259142644324127E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              50          3.4027683792220489E+006          6.9999457524405386E+000          4.5027818812941078E+001          1.3017702916301721E+002          1.9526554374452584E+002          1.8661889652262854E+001          1.5508085453959456E+001         -6.9020052407406363E-001         -7.2438745917741210E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162824456377684E+054         -2.9259363171861308E+034          0.0000000000000000E+000         -2.9259363171861308E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              55          4.4985264953909162E+006          6.9999282835140013E+000          4.5027743899218983E+001          1.3017713745227275E+002          1.9526570617840912E+002          1.8661858604087477E+001          1.5508059652833960E+001         -6.7229680030240468E-001         -7.1731046300663270E-001          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.2162814338601005E+054         -2.9259537769420176E+034          0.0000000000000000E+000         -2.9259537769420176E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
