                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240830"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      472                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.3466864881752241E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.3466864881752241E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6847000892683205E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6847000892683205E+001                 -1.6847000892683205E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6177785338815247E+000                  3.9556053777551989E+000                  2.2648987819790469E+000                  1.0843613224007198E+000                  0.0000000000000000E+000                  9.3424817623681626E+000                 -4.5894071596001336E+000                  5.7520678685772006E+000                  6.2187853085929756E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861553E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                       5                                      474                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0025724738467702E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0025724738467702E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6847000650737030E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6847000650737030E+001                 -1.6847000650737030E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178903010512768E+000                  3.9560536116705962E+000                  2.2648993645972402E+000                  1.0843601571643340E+000                  0.0000000000000000E+000                  9.3424818233628741E+000                 -4.5894071127211866E+000                  5.7520678830772267E+000                  6.2187853084068390E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861540E-003                  9.3805276451495410E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      10                                      489                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0026456518466091E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0026456518466091E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846999908091647E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846999908091647E+001                 -1.6846999908091647E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6179182727876538E+000                  3.9561654228653622E+000                  2.2648993267218702E+000                  1.0843602329150739E+000                  0.0000000000000000E+000                  9.3424820078537554E+000                 -4.5894069720545216E+000                  5.7520679276720497E+000                  6.2187853078299682E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861531E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      15                                      474                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0028313298898592E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0028313298898592E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846998046640401E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846998046640401E+001                 -1.6846998046640401E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6179018952286470E+000                  3.9560991786601312E+000                  2.2648989597372675E+000                  1.0843609668842791E+000                  0.0000000000000000E+000                  9.3424824695494006E+000                 -4.5894066203379227E+000                  5.7520680394729098E+000                  6.2187853063825571E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861509E-003                  9.3805276451495410E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      20                                      489                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0033167137220059E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0033167137220059E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846993419031445E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846993419031445E+001                 -1.6846993419031445E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178875254196203E+000                  3.9560405256628193E+000                  2.2648983728566652E+000                  1.0843621406454833E+000                  0.0000000000000000E+000                  9.3424836174842731E+000                 -4.5894057457428152E+000                  5.7520683173791847E+000                  6.2187853027850937E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861496E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      25                                      474                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0046801423288855E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0046801423288855E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846981905758934E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846981905758934E+001                 -1.6846981905758934E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178769473076198E+000                  3.9559960685688487E+000                  2.2648973005336814E+000                  1.0843642852914512E+000                  0.0000000000000000E+000                  9.3424864725025252E+000                 -4.5894035703810570E+000                  5.7520690084500439E+000                  6.2187852938398747E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861470E-003                  9.3805276451495410E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      30                                      489                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0090972941272236E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0090972941272236E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846953239489238E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846953239489238E+001                 -1.6846953239489238E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178702445368129E+000                  3.9559648554672471E+000                  2.2648950995244950E+000                  1.0843686873098244E+000                  0.0000000000000000E+000                  9.3424935722389524E+000                 -4.5893981602656915E+000                  5.7520707266361555E+000                  6.2187852716015490E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861453E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      35                                      474                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0260115126983041E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0260115126983041E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846881816146396E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846881816146396E+001                 -1.6846881816146396E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178677074522598E+000                  3.9559449538145106E+000                  2.2648902228672316E+000                  1.0843784406243508E+000                  0.0000000000000000E+000                  9.3425112228943128E+000                 -4.5893847083441566E+000                  5.7520749970218894E+000                  6.2187852163366375E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861444E-003                  9.3805276451495410E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
                                      40                                      489                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.5000000000000002E+001                  3.4474597169416349E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0861105129009825E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998982745142195E-001                  2.0861105129009825E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6846703833876223E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.6846703833876223E+001                 -1.6846703833876223E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6178678644561120E+000                  3.9559228722660942E+000                  2.2648788680853191E+000                  1.0844011501881756E+000                  0.0000000000000000E+000                  9.3425551018746322E+000                 -4.5893512624749668E+000                  5.7520856099269109E+000                  6.2187850790044252E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861379E-003                  9.3805276451495445E-003                  3.4468833607861427E-003                  9.3805276451495428E-003                  1.0500000000000014E+001                  4.1995530354712329E+000                                        0                                        2 
